Mes,NDVI,Precipitación,Evapotranspiración,Intercepción,Evapotranspiración_Potencial,Humedad_Suelo,Recarga
Nov,0.726301,0.6415756746045695,0.8338029574738667,0.9679647395968529,0.5793950921512991,0.9610654951758095,0.34203353582317847
Dic,0.736854,0.13099664877204473,0.6624637708406882,0.4575805902257194,0.5957294152891459,0.8844941662213368,0.04566314515880022
Ene,0.658127,0.09977166607244428,0.49023208248004635,0.4057134365899896,0.7456781468518332,0.5501297186455769,5.326459531280861e-05
Feb,0.588104,0.1904864262939316,0.376087257757572,0.6068858027451188,0.7317948430143393,0.2581362274068702,0.0009416708595529724
Mar,0.612964,0.45992975040108053,0.750658478824438,0.8604601261524206,0.910699899217635,0.2989626501343609,0.005520437029374451
Abr,0.738267,0.5741375929530275,0.9161894061725414,0.04009273479082584,0.7849529678727758,0.5110323109289476,0.06579234030321142
May,0.770527,0.7638212311031145,0.940445099607993,0.04046285211425542,0.7753818086961881,0.6955703784667067,0.3541494574924334
Jun,0.692302,0.3699075462202677,0.8873747632208145,0.6329170019860166,0.7324602631166675,0.8481943592451666,0.16564477171488456
Jul,0.776084,0.31852572750052033,0.6956452707180192,0.6640171301525237,0.6671102315222128,0.7385102259612348,0.0149319534892796
Ago,0.698207,0.11555522763383641,0.4985958973980462,0.3889399741467696,0.7891079519788278,0.5375168762731699,0.0065937625385124295
Sep,0.712482,0.3854733038674124,0.5075240365254452,0.7241441217758339,0.7162846854179841,0.35175650284027443,0.0050966192721982875
Oct,0.785355,0.6066038119368256,0.7657519289916602,0.9997820098672874,0.6886258241751795,0.5364754650534587,0.06909873187727253
Nov,0.773114,0.5020779067196496,0.6886748814334249,0.7617846773743141,0.6097267622613483,0.7011990357245517,0.1593260545963652
Dic,0.746678,0.2811874078597047,0.5220460135565006,0.6412277708953512,0.5856554965419838,0.6404270188045182,0.01847090624258474
Ene,0.710636,0.11975530307583401,0.35970555009714883,0.3497459675587391,0.6474458522776625,0.5179879308506867,0.002446313877324835
Feb,0.634446,0.11907174230852907,0.23736568779754813,0.35077393297548576,0.7133330568495517,0.28817459191047895,0.0010164531114591707
Mar,0.611902,0.20365529505523908,0.37151951134764477,0.5495103252315549,0.9933860379042816,0.1938702167795629,0.0017625535291531356
Abr,0.67348,0.2859325974393914,0.5577096765133851,0.0,0.8544106169497998,0.15862149521570273,0.012533272935794154
May,0.729823,0.2916601920271983,0.5632370851040274,0.05490738240817025,0.8955311599692011,0.1802332886381524,0.005482877998537971
Jun,0.769666,0.46740568266565474,0.44862703468784626,0.8417529381498937,0.6039884444628651,0.2490559143048922,0.027178737641490213
Jul,0.795341,0.75958539173434,0.8047964076178781,0.9217874091237537,0.6982947321623905,0.6033151093889282,0.18717193430782572
Ago,0.746717,0.5058524011483535,0.8911792340389187,0.7211222686484583,0.8808794785178913,0.6483956287847832,0.1123950467473888
Sep,0.776158,0.6320253517206893,0.8233287933006203,0.9090955102366811,0.6734753153797697,0.7604054691831297,0.29422968950632883
Oct,0.782027,0.5916052051326516,1.0,0.8550367064361927,0.8395330252323949,0.8015996109019803,0.18209797788963056
Nov,0.772937,0.6457075539874062,0.6083006235117525,0.836753142162961,0.4504983617307905,0.8666688889463527,0.44176170040013546
Dic,0.769412,0.351573687500677,0.5163820094008387,0.7238875572574972,0.4057005273030033,0.8918512043451163,0.09591409751960402
