Mes,NDVI,Precipitación,Evapotranspiración,Intercepción,Evapotranspiración_Potencial,Humedad_Suelo,Recarga
Ene,0.668057,0.0,0.138145,0.135786,0.584168,0.434685,0.000103
Feb,0.594504,0.271296,0.137373,0.526269,0.446455,0.313876,0.014731
Mar,0.637496,0.308156,0.335274,0.688606,0.643681,0.385454,0.022327
Abr,0.651578,0.525013,0.621304,0.020353,0.607442,0.444698,0.118115
May,0.766817,0.896439,0.669791,0.052094,0.450178,0.811397,0.775615
Jun,0.777916,0.437945,0.729398,0.767268,0.573747,0.851372,0.096109
Jul,0.744771,0.159558,0.625711,0.578494,0.605082,0.810537,0.005936
Ago,0.762621,0.586164,0.768791,1.0,0.61534,0.792608,0.070953
Sep,0.752296,0.527113,0.830041,0.821453,0.649401,0.860332,0.135959
Oct,0.761055,0.608592,0.866037,0.959969,0.633049,0.95167,0.302241
Nov,0.755928,0.63147,0.664587,0.952467,0.500952,0.954742,0.484398
Dic,0.740786,0.293785,0.642217,0.709514,0.517488,0.9434,0.153322
Ene,0.678415,0.144373,0.576871,0.568178,0.682082,0.687744,0.00046
Feb,0.621377,0.27436,0.45047,0.714457,0.607806,0.411759,0.0044
Mar,0.65902,0.248367,0.529483,0.642662,0.76696,0.483089,0.011972
Abr,0.618541,0.36183,0.612139,0.002908,0.747295,0.350363,0.014309
May,0.753208,0.594276,0.818942,0.047621,0.674088,0.644245,0.135258
Jun,0.770325,0.302256,0.61403,0.657443,0.626055,0.655888,0.031107
Jul,0.693461,0.101507,0.540851,0.33311,0.906959,0.501791,0.001421
Ago,0.697823,0.397835,0.653442,0.793773,0.834201,0.382402,0.003476
Sep,0.739485,0.385876,0.636991,0.74011,0.793752,0.375594,0.014478
Oct,0.723315,0.707283,0.799299,0.980336,0.671512,0.593759,0.091857
Nov,0.775054,0.54361,0.664587,0.844391,0.54553,0.76165,0.179297
Dic,0.74772,0.270264,0.627139,0.603575,0.595386,0.795458,0.053395
Ene,0.681851,0.157019,0.505405,0.50208,0.744363,0.524094,0.000205
Feb,0.747055,0.132811,0.288569,0.477487,0.647737,0.308271,0.000443
Mar,0.556155,0.244005,0.391264,0.539954,0.903245,0.218852,0.001092
Abr,0.676521,0.342233,0.586022,0.023718,0.740857,0.287126,0.015039
May,0.711746,0.546726,0.702608,0.035243,0.804343,0.335159,0.072227
Jun,0.766458,0.138388,0.409689,0.383669,0.746823,0.460887,0.012453
Jul,0.71818,0.349516,0.502622,0.614607,0.816568,0.362465,0.009463
Ago,0.765657,0.254625,0.476343,0.577075,0.8839,0.317222,0.009077
Sep,0.700125,0.285839,0.424167,0.500273,0.855643,0.250355,0.008535
Oct,0.705994,0.437458,0.521173,0.811548,0.703578,0.330663,0.018193
Nov,0.76284,0.452395,0.570804,0.88218,0.556791,0.466362,0.026681
Dic,0.747055,0.036839,0.182917,0.253827,0.687581,0.356061,0.000154
Ene,0.620387,0.045173,0.045924,0.25778,0.793548,0.162817,0.0
Feb,0.507693,0.129043,0.0,0.419184,0.855187,0.0,6.4e-05
Mar,0.550287,0.245414,0.238466,0.664605,1.0,0.005455,0.00155
Abr,0.610563,0.448928,0.476829,0.00233,0.793033,0.059533,0.017349
May,0.731242,0.456756,0.632178,0.065176,0.67417,0.380302,0.051781
Jun,0.78682,0.314348,0.568998,0.691529,0.704278,0.435772,0.012199
Jul,0.77962,0.372483,0.613754,0.831041,0.771405,0.403872,0.013595
Ago,0.70756,0.272089,0.528304,0.709232,0.879649,0.308692,0.002513
Sep,0.775664,0.498999,0.691806,0.858033,0.726644,0.408838,0.04305
Oct,0.777277,0.674231,0.770892,0.948006,0.657861,0.583236,0.13588
